STATION,ICAO,L,AT,,LO,NG,,ELEV,M
ALTOONA,KAOO,40,18,N,78,19,W,455,X
ALTURAS,KAAT,41,29,N,120,34,W,1331,X
ALTUS AFB,KLTS,34,40,N,99,16,W,420,X
ALTUS/QUARTZ MTN,KAXS,34,42,N,99,20,W,437,X
ALULA,HCMA,11,56,N,50,43,E,2,X
ALVA,KAVK,36,46,N,98,40,W,449,X
ALVERCA,LPAR,38,53,N,9,2,W,3,X
ALYKEL,UOOO,69,19,N,87,20,E,175,X
AMAHAI,WAPA,3,21,S,128,52,E,10,X
AMAMI AIRPORT,RJKA,28,25,N,129,43,E,7,X
AMAPA AIRPORT,SBAM,2,4,N,50,51,W,10,X
AMAPALA/LOS PEL,MHAM,13,16,N,87,39,W,5,X
AMARILLO,KAMA,35,13,N,101,43,W,1093,X
AMBATO/CHACHOAN,SEAM,1,11,S,78,34,W,2520,X
AMBERIEU (FAFB/A,LFXA,45,58,N,5,19,E,257,X
AMBERLEY,YAMB,27,38,S,152,43,E,28,X
AMBERLEY (AUS-AF,YBAM,27,37,S,152,43,E,31,X
AMBLER,PAFM,67,6,N,157,51,W,88,X
AMBON/PATTIMURA,WAPP,3,42,S,128,4,E,12,X
AMBOULI DJIBOUTI,HDAM,11,33,N,43,10,E,49,X
AMDERMA,ULDD,69,45,N,61,34,E,49,X
AMELIA/LAKE PALO,K7R3,29,41,N,91,5,W,2,X
AMENDOLA (IT-AFB,LIBA,41,31,N,15,43,E,60,X
AMERICUS,KACJ,32,7,N,84,11,W,143,X
AMES,KAMW,41,59,N,93,37,W,279,X
AMHERST (MARS),CWAH,45,51,N,64,16,W,23,X
AMMAN/KING ABDUL,OJAM,31,58,N,35,58,E,773,X
AMPENAN/SELAPARA,WRRA,8,31,S,116,4,E,3,X
AMPHITRITE POINT,CWAN,48,55,N,125,32,W,27,X
AMQUI,CWZS,48,28,N,67,26,W,166,X
AMRITSAR,VIAR,31,43,N,74,48,E,234,X
AMSTERDAM/SCHIPH,EHAM,52,19,N,4,47,E,9,X
AM-TIMAN,FTTN,11,1,N,20,16,E,436,X
AMUNDSEN-SCOTT,NZSP,89,59,S,179,59,E,2830,X
AMURI/AITUTAKI I,NCAI,18,49,S,159,46,W,6,X
ANADOLU,LTBY,39,49,N,30,31,E,789,X
ANADYR',UHMA,64,44,N,177,44,E,62,X
ANAKTUVUK PASS,PAKP,68,8,N,151,44,W,642,X
ANALALAVA,FMNL,14,37,S,47,46,E,57,X
ANAPA/VITIAZEVO,URKA,45,0,N,37,21,E,53,X
ANAPOLIS (BRAZ-A,SBAN,16,13,S,48,58,W,1137,X
ANCHORAGE INTL,PANC,61,10,N,150,1,W,38,X
ANCHORAGE/LAKE H,PALH,61,11,N,149,58,W,22,X
ANCHORAGE/MERRIL,PAMR,61,13,N,149,51,W,41,X
ANCUD/PUPELDE,SCAC,41,53,S,73,47,W,114,X
ANDAHUAYLA,SPHY,13,42,S,73,21,W,3548,X
ANDALUSIA/OPP AR,K79J,31,19,N,86,24,W,94,X
ANDAPA,FMND,14,39,S,49,37,E,474,X
ANDERSON,KAND,34,30,N,82,43,W,239,X
ANDERSON MUNICIP,KAID,40,7,N,85,37,W,280,X
ANDIZAN,UTFA,40,44,N,72,18,E,477,X
ANDONG,RKTA,36,32,N,128,43,E,142,X
ANDOVER,K12N,41,1,N,74,44,W,177,X
ANDOVER,KADR,45,26,N,97,56,W,453,X
ANDOYA/ANDENES(A,ENAN,69,17,N,16,8,E,14,X
ANDRAVIDA (CIV/A,LGAD,37,55,N,21,16,E,12,X
ANDREW AGDM,CXAG,53,55,N,112,17,W,625,X
ANDREWS,KRHP,35,11,N,83,51,W,518,X
ANDREWS,KE11,32,20,N,102,32,W,967,X
ANDREWS AFB,KADW,38,49,N,76,52,W,86,X
ANDROS TOWN,MYAF,24,41,N,77,47,W,2,X
ANGEL FIRE,KAXX,36,25,N,105,17,W,2548,X
ANGELES/PAMPANGA,RPLC,15,10,N,120,35,E,196,X
ANGELHOLM (SWE-A,ESTA,56,17,N,12,50,E,47,X
ANGERS/AVRILLE(A,LFRA,47,30,N,0,34,W,58,X
ANGISSOQ (AUT),BGAS,59,58,N,45,12,W,16,X
ANGLETON,KLBX,29,7,N,95,28,W,6,X
ANGMAGSSALIK,BGAM,65,35,N,37,37,W,52,X
ANGO,FZKO,4,1,N,25,52,E,650,X
ANGOCHE,FQAG,16,13,S,39,53,E,62,X
ANGOON SEAPLANE,PAGN,57,30,N,134,35,W,2,X
ANHOLT ISLAND (A,EKAT,56,42,N,11,33,E,8,X
ANIAK,PANI,61,35,N,159,32,W,26,X
ANJOUAN/OUANI,FMCV,12,7,S,44,25,E,12,X
ANKARA/ESENBOGA,LTAC,40,7,N,32,58,E,949,X
ANKARA/ETIMESGUT,LTAD,39,57,N,32,40,E,806,X
ANKARA/GUVERCIN,LTAB,39,55,N,32,45,E,819,X
ANKENY,KIKV,41,41,N,93,34,W,275,X
ANN ARBOR,KARB,42,13,N,83,44,W,251,X
ANNABA/EL MELLAH,DABB,36,49,N,7,49,E,4,X
ANNAPOLIS/NAVAL,KNAK,38,59,N,76,29,W,2,X
ANNECY/MEYTHET,LFLP,45,55,N,6,5,E,463,X
ANNETTE ISLAND,PANT,55,2,N,131,34,W,36,X
ANNISTON,KANB,33,35,N,85,51,W,183,X
ANTA/HUARAZ,SPHZ,9,20,S,77,35,W,2760,X
ANTALAHA/ANTSIRA,FMNH,14,52,S,50,15,E,88,X
ANTALYA (CIV/MIL,LTAI,36,54,N,30,48,E,54,X
ANTANANARIVO/IVA,FMMI,18,48,S,47,28,E,1276,X
ANTIGO/LANGLADE,KAIG,45,10,N,89,7,W,464,X
ANTOFAGASTA/CERR,SCFA,23,25,S,70,25,W,120,X
ANTSIRABE,FMME,19,49,S,47,4,E,1532,X
ANTWERP/DEURNE,EBAW,51,12,N,4,28,E,14,X
ANURADHAPURA (AF,VCCA,8,19,N,80,25,E,89,X
ANVIK,PANV,62,39,N,160,11,W,99,X
AOMORI AIRPORT,RJSA,40,43,N,140,41,E,201,X
AOSTA ARPT,LIMW,45,44,N,7,22,E,546,X
AOULEF,DAAF,26,58,N,1,4,E,309,X
APALACHICOLA,KAAF,29,44,N,85,2,W,5,X
APARRI/LUZON ISL,RPUA,18,22,N,121,37,E,3,X
APARTADO/LOS CED,SKLC,7,49,N,76,42,W,30,X
APIA/UPOLU ISLAN,NSAP,13,48,S,171,46,W,2,X
APIAY TMQ53,KQQY,4,4,N,73,33,W,377,X
APOLO,SLAP,14,43,S,68,25,W,1415,X
APPLE VALLEY,KAPV,34,34,N,117,11,W,934,X
APPLETON MUNICIP,KAQP,45,13,N,96,0,W,311,X
APPLETON/OUTAGAM,KATW,44,15,N,88,31,W,280,X
APT/ST. CHRISTOL,LFXI,44,2,N,5,28,E,837,X
APUTITEQ ADS (AU,BGAT,67,46,N,32,16,W,23,X
AQABA INTL AIRPO,OJAQ,29,37,N,35,1,E,51,X
ARACAJU/SANTA MA,SBAR,10,58,S,37,4,W,9,X
ARACATUBA,SBAU,21,8,S,50,26,W,415,X
ARAD,LRAR,46,12,N,21,16,E,118,X
ARAK,OIHR,34,8,N,49,51,E,1658,X
ARALSK,UATA,46,46,N,61,40,E,56,X
ARANOS,FYAN,24,9,S,19,7,E,1189,X
ARAR,OERR,30,53,N,41,7,E,552,X
ARARAQUARA,SBAQ,21,48,S,48,8,W,708,X
ARAUCA/SANTIAGO,SKUC,7,4,N,70,43,W,128,X
ARAXA,SBAX,19,34,S,46,58,W,998,X
ARAXOS (CIV/AFB),LGRX,38,10,N,21,25,E,15,X
ARBA MINCH,HAAM,6,4,N,37,40,E,1219,X
ARCATA/EUREKA,KACV,40,59,N,124,6,W,67,X
ARCHEFIELD/BRISB,YBAF,27,34,S,153,0,E,18,X
ARCTIC BAY,CYAB,73,0,N,85,3,W,22,X
ARCTIC BAY CS,CXAT,73,0,N,85,1,W,19,X
ARCTIC VILLAGE,PARC,68,7,N,145,35,W,636,X
ARDABIL,OITL,38,20,N,48,25,E,1316,X
ARDMORE,KADM,34,17,N,97,1,W,232,X
ARDMORE/EXEC,K1F0,34,9,N,97,7,W,257,X
AREQUIPA/RODRIGU,SPQU,16,20,S,71,34,W,2554,X
AREZZO,LIQB,43,28,N,11,50,E,249,X
ARGENTIA (MARS),CWAR,47,17,N,54,0,W,16,X
ARHANGELSK,ULAA,64,36,N,40,43,E,19,X
ARHUS/KIRSTINESM,EKKM,56,8,N,10,13,E,57,X
ARICA/CHACALLUTA,SCAR,18,21,S,70,19,W,59,X
ARKADELPHIA,KM89,34,6,N,93,4,W,56,X
ARKADELPHIA,KADF,34,6,N,93,4,W,55,X
ARLINGTON,KGKY,32,40,N,97,6,W,192,X
ARLINGTON,KARL,41,36,N,106,13,W,2179,X
ARLINGTON MUNI,KAWO,48,10,N,122,10,W,42,X
ARMENIA/EL EDEN,SKAR,4,27,N,75,46,W,1219,X
ARMILLA (CIV/MIL,LEGA,37,7,N,3,37,W,686,X
ARNES,CWRE,50,48,N,96,57,W,221,X
ARNOS VALE/ST V,TVSV,13,8,N,61,12,W,9,X
AROAB,FYAB,26,46,S,19,38,E,986,X
ARORAE ISLAND,NGTR,2,40,S,176,49,E,7,X
ARRECIFE/LANZARO,GCRR,28,56,N,13,35,W,40,X
ARROYO BARRIL,MDAB,19,12,N,69,26,W,35,X
ARTESIA,KATS,32,51,N,104,28,W,1081,X
ARTIGAS,SUAG,30,24,S,56,30,W,123,X
ARUA,HUAR,3,2,N,30,55,E,1211,X
ARUSHA,HTAR,3,22,S,36,37,E,1387,X
ARVIAT AIRPORT,CYEK,61,6,N,94,4,W,10,X
ARVIAT CLIMATE,CXAR,61,6,N,94,4,W,10,X
ARVIDSJAUR,ESNX,65,35,N,19,17,E,379,X
ARWI,GMMW,34,59,N,3,1,W,175,X
ASADABAD FOB,KQCC,34,51,N,71,8,E,841,X
ASAHIKAWA (JASDF,RJCA,43,47,N,142,22,E,118,X
ASAHIKAWA AIRPOR,RJEC,43,40,N,142,26,E,211,X
ASAU/SAVAI'I ISL,NSAU,13,30,S,172,37,W,4,X
ASCAZUBI,SEAS,0,4,S,78,17,W,2743,X
ASCENCION GUARAY,SLAS,15,43,S,63,6,W,247,X
ASHABAD,KQGS,37,58,N,58,23,E,210,X
ASHEBORO MUNI,KHBI,35,39,N,79,54,W,205,X
ASHEVILLE,KAVL,35,26,N,82,32,W,670,X
ASHGABAT,UTAA,37,59,N,58,22,E,210,X
ASHIYA (JASDF),RJFA,33,52,N,130,39,E,33,X
ASHLAND,KASX,46,33,N,90,55,W,251,X
ASHTABULA,KHZY,41,47,N,80,42,W,276,X
ASHWAUBENON,KGRB,44,29,N,88,8,W,208,X
ASMAR,OAAS,35,1,N,71,25,E,880,X
ASMARA/YOHANNES,HAAY,15,16,N,38,55,E,2325,X
ASMARA/YOHANNES,HHAS,15,16,N,38,55,E,2356,X
ASPEN,KASE,39,14,N,106,52,W,2354,X
ASSAB,HASB,13,4,N,42,43,E,14,X
ASSINIBOIA ARPT,CWJI,49,43,N,105,55,W,724,X
ASSIS,SBAS,22,38,S,50,27,W,564,X
ASSOSA/ASOSA,HASO,10,1,N,34,31,E,1733,X
ASTANA KAZAKHSTA,UACC,51,1,N,71,27,E,355,X
ASTORIA,KAST,46,9,N,123,53,W,3,X
ASTRAKHAN,URWA,46,17,N,48,1,E,-20,X
ASTURIAS/AVILES,LEAS,43,32,N,6,1,W,134,X
ASUNCION/SILVIO,SGAS,25,16,S,57,31,W,101,X
ASWAN (CIV/MIL),HESN,23,58,N,32,49,E,194,X
ASYUT,HEAT,27,3,N,31,1,E,70,X
ATAKPAME/AKPAKA,DXAK,7,32,N,1,7,E,402,X
ATALAYA,SPAY,10,43,S,73,46,W,451,X
ATAMBUA/HALIWEN,WRKA,9,19,S,124,54,E,125,X
ATAQ,OYAT,14,33,N,46,50,E,1039,X
ATAR,GQPA,20,31,N,13,4,W,224,X
ATBARA,HSAT,17,41,N,33,58,E,345,X
ATHENS,KAHN,33,57,N,83,20,W,244,X
ATHENS,KUNI,39,13,N,82,14,W,193,X
ATHENS,KF44,32,10,N,95,50,W,135,X
ATHENS/ELEF-VEN,LGAV,37,56,N,23,57,E,94,X
ATI,FTTI,13,13,N,18,19,E,334,X
ATIKOKAN (AUT),CWCH,48,45,N,91,37,W,424,X
ATKA,PAAK,52,13,N,174,12,W,17,X
ATLANTA,KATL,33,38,N,84,27,W,296,X
ATLANTA/FULTON,KFTY,33,47,N,84,31,W,263,X
ATLANTA/PAULDING,KPUJ,33,55,N,84,56,W,393,X
ATLANTIC,KAIO,41,23,N,95,2,W,360,X
ATLANTIC CITY,KACY,39,28,N,74,35,W,23,X
ATLANTIS    OILP,KATP,27,12,N,90,2,W,62,X
ATMORE AGDM,CXAJ,54,46,N,112,49,W,574,X
ATOKA,KAQR,34,24,N,96,9,W,189,X
ATQASUK BURNELL,PATQ,70,28,N,157,26,W,29,X
ATSUGI,KQNA,35,45,N,139,45,E,62,X
ATSUGI NAS (JMSD,RJTA,35,27,N,139,26,E,65,X
ATTOPEU,VLAP,14,48,N,106,49,E,105,X
ATYRAU,UATG,47,7,N,51,50,E,-22,X
AUBURN DEKALB C,KGWB,41,18,N,85,4,W,269,X
AUBURN MUNI,KAUN,38,57,N,121,5,W,467,X
AUBURN OPELIKA A,KAUO,32,37,N,85,25,W,236,X
AUBURN UNIV. (AM,KAUB,32,36,N,85,30,W,198,X
AUBURN/LEWISTON,KLEW,44,2,N,70,16,W,88,X
