STATION,ICAO,L,AT,,LO,NG,,ELEV,M
KHARK ISLAND,OIBQ,29,16,N,50,19,E,6,X
KHARTOUM (CIV/MI,HSSS,15,35,N,32,32,E,380,X
KHASSAB (MIL),OOKB,26,13,N,56,13,E,3,X
KHATANGA,UOHH,71,59,N,102,30,E,33,X
KHELEGAY,KQKG,35,53,N,68,48,E,731,X
KHON KAEN,VTUK,16,28,N,102,47,E,204,X
KHORAM ABAD,OICK,33,26,N,48,17,E,1155,X
KHORIXAS,FYKX,20,22,S,14,58,E,1026,X
KHOST,OAKS,33,21,N,69,57,E,1146,X
KHOY,OITK,38,25,N,44,58,E,1107,X
KHUDZHAND,UTDL,40,13,N,69,42,E,442,X
KHWAHAN,OAHN,37,52,N,70,13,E,1040,X
KIANA,PAIK,66,59,N,160,26,W,51,X
KICKAPOO,KCWC,33,51,N,98,29,W,305,X
KIDAL,GAKL,18,25,N,1,21,E,459,X
KIEL/HOLTENAU CI,EDHK,54,22,N,10,10,E,31,X
KIEV/ZHULYIANY,UKKK,50,24,N,30,27,E,179,X
KIFFA,GQNF,16,37,N,11,24,W,115,X
KIGALI,HRYR,1,58,S,30,7,E,1497,X
KIGOMA,HTKA,4,52,S,29,40,E,885,X
KIKAI ISLAND,RJKI,28,19,N,129,55,E,6,X
KIKWIT,FZCA,5,1,S,18,48,E,449,X
KILIMANJARO AIRP,HTKJ,3,25,S,37,4,E,896,X
KILL DEVIL HILLS,KFFA,36,1,N,75,40,W,4,X
KILLAM AGDM,CXKM,52,51,N,111,52,W,675,X
KILLARNEY (MAPS),CWBE,45,58,N,81,28,W,196,X
KILLEEN MUNI,KILE,31,4,N,97,40,W,258,X
KILWA MASOKO,HTKI,8,55,S,39,31,E,18,X
KIMBALL MUNI,KIBM,41,11,N,103,41,W,1501,X
KIMBERLEY/BJ VOR,FAKM,28,48,S,24,46,E,1192,X
KIMCHAEK/SONGJIN,ZKKC,40,40,N,129,11,E,23,X
KINDAKUN ROCKS(A,CWQS,53,19,N,132,46,W,14,X
KINDERSLEY,CYKY,51,31,N,109,10,W,694,X
KINDIA,GUID,10,3,N,12,52,W,459,X
KINDU,FZOA,2,57,S,25,55,E,497,X
KING COVE,PAVC,55,7,N,162,16,W,47,X
KING FAHD INTL,OEDF,26,28,N,49,48,E,22,X
KING KHALID MIL,OEKK,27,53,N,45,31,E,413,X
KING SALMON,PAKN,58,41,N,156,39,W,17,X
KING SALMON AFS,KQRC,58,41,N,156,38,W,15,X
KINGMAN,KIGM,35,15,N,113,56,W,1032,X
KINGMAN,K9K8,37,40,N,98,7,W,490,X
KINGSTON ARPT (M,CYGK,44,13,N,76,35,W,93,X
KINGSTON/NORMAN,MKJP,17,55,N,76,47,W,3,X
KINGSTREE,KCKI,33,43,N,79,51,W,21,X
KINGSVILLE NAS,KNQI,27,30,N,97,49,W,15,X
KINLOSS RAF,EGQK,57,39,N,3,34,W,7,X
KINSHASA/N'DJILI,FZAA,4,23,S,15,27,E,312,X
KINSTON/STALLING,KISO,35,19,N,77,37,W,29,X
KIPNUK,PAKI,59,56,N,164,2,W,4,X
KIRENSK,UIKK,57,46,N,108,4,E,258,X
KIRK,K72C,39,36,N,102,34,W,1280,X
KIRKENES (CIV/MI,ENKR,69,43,N,29,53,E,91,X
KIRKLAND LAKE,CXKI,48,13,N,80,0,W,324,X
KIRKSVILLE,KIRK,40,6,N,92,33,W,293,X
KIRKUK      ORKK,KQTX,35,28,N,44,21,E,323,X
KIRKWALL AIRPORT,EGPA,58,57,N,2,53,W,21,X
KIRUNA AIRPORT,ESNQ,67,49,N,20,19,E,452,X
KISANGANI (ZAI-A,FZIA,0,31,N,25,10,E,396,X
KISARAZU (JGSDF),RJTK,35,23,N,139,55,E,6,X
KISH ISLAND,OIBK,26,32,N,53,59,E,30,X
KISII,HKKS,0,40,S,34,46,E,1493,X
KISINEV,UKII,47,1,N,28,52,E,180,X
KISSIDOUGOU,GUKU,9,10,N,10,5,W,525,X
KISSIMMEE/ORLAND,KISM,28,17,N,81,26,W,25,X
KISUMU,HKKI,0,6,S,34,45,E,1146,X
KITA,GAKT,13,4,N,9,28,W,334,X
KITADAITO ISLAND,RORK,25,55,N,131,19,E,22,X
KITAKYUSHU/KOKUR,RJFR,33,49,N,131,2,E,6,X
KITALE,HKKT,0,58,N,34,58,E,1850,X
KITHIRA ARPT,LGKC,36,17,N,23,1,E,319,X
KITONA (ZAI-AFB),FZAI,5,55,S,12,26,E,120,X
KITTILA,EFKT,67,42,N,24,51,E,643,X
KIVALINA,PAVL,67,44,N,164,33,W,3,X
KLAGENFURT(CIV/M,LOWK,46,39,N,14,19,E,441,X
KLAMATH FALLS,KLMT,42,9,N,121,43,W,1246,X
KLAWOCK,PAKW,55,35,N,133,4,W,15,X
KLEINE-BROGEL(BA,EBBL,51,10,N,5,28,E,64,X
KLEINSEE,FAKZ,29,37,S,17,4,E,80,X
KLERKSDORP,FAKD,26,52,S,26,43,E,1355,X
KNOX STARKE CTY,KOXI,41,20,N,86,40,W,209,X
KNOXVILLE,KOXV,41,17,N,93,7,W,283,X
KNOXVILLE,KTYS,35,49,N,83,59,W,302,X
KOBE,RJBE,34,38,N,135,14,E,5,X
KOCHI AIRPORT,RJOK,33,31,N,133,40,E,10,X
KODIAK,PADQ,57,45,N,152,30,W,34,X
KOELN/BONN,EDDK,50,52,N,7,10,E,99,X
KOFORIDUA,DGKK,6,4,N,0,15,W,167,X
KOGALNICEANU,LRCK,44,22,N,28,29,E,108,X
KOKE KATHIEM (MI,VTBL,14,52,N,100,40,E,30,X
KOKOMO,KOKK,40,32,N,86,4,W,253,X
KOKONAO/TIMUKA,WABN,4,43,S,136,25,E,3,X
KOKSHETAU,UACK,53,19,N,69,35,E,2547,X
KOKSIJDE (BEL-AF,EBFN,51,4,N,2,38,E,9,X
KOLAKA/POMALAA,WAAP,4,11,S,121,37,E,3,X
KOLDA,GOGK,12,54,N,14,58,W,10,X
KOLHAPUR,VAKP,16,41,N,74,13,E,570,X
KOLIGANEK,PAJZ,59,44,N,157,16,W,82,X
KOLPASHEVO-IN-T,UNCL,58,17,N,82,52,E,76,X
KOLWEZI,FZQM,10,43,S,25,26,E,1526,X
KOMAKUK BEACH,CWKM,69,36,N,140,10,W,13,X
KOMATIPOORT,FAKP,25,25,S,31,55,E,152,X
KOMATSU (CIV/JAS,RJNK,36,22,N,136,25,E,9,X
KOMATSUJIMA (JAS,RJOP,34,0,N,134,37,E,6,X
KOMPONG-CHAM,VDKC,12,0,N,105,27,E,16,X
KONGOLO,FZRQ,5,20,S,27,0,E,561,X
KONYA (TUR-AFB),LTAN,37,58,N,32,32,E,1006,X
KOON-NI RANGE,RKSN,37,1,N,126,45,E,15,X
KOPITNARI,UGKO,42,11,N,42,29,E,68,X
KORAT/NAKHON RAT,VTUN,14,58,N,102,4,E,188,X
KORHOGO,DIKO,9,25,N,5,37,W,381,X
KOROR PALAU/NWS,PTKR,7,20,N,134,29,E,30,X
KOS AIRPORT,LGKO,36,48,N,27,5,E,125,X
KOSICE BARCA,LZKZ,48,40,N,21,14,E,232,X
KOSOVSKA,KQLC,42,34,N,21,34,E,597,X
KOSRAE CAROLINES,PTTK,5,20,N,162,56,E,2,X
KOSRAE ISLAND,PTSA,5,21,N,162,57,E,3,X
KOSTANAY,UAUU,53,12,N,63,33,E,182,X
KOSTI/RABAK,HSKI,13,10,N,32,40,E,381,X
KOTA AERODROME,VIKO,25,8,N,75,50,E,274,X
KOTA BHARU/SULTA,WMKC,6,10,N,102,16,E,5,X
KOTA KINABALU IN,WBKK,5,55,N,116,2,E,3,X
KOTABARU/SETAGEN,WRBK,3,23,S,116,13,E,18,X
KOTAR RANGE,RKNR,37,6,N,128,54,E,792,X
KOTLAS,ULKK,61,14,N,46,42,E,56,X
KOTZEBUE,PAOT,66,52,N,162,35,W,3,X
KOUMAC,NWWK,20,34,S,164,16,E,18,X
KOUNDJA/FOUMBAN,FKKM,5,39,N,10,45,E,1210,X
KOUTIALA,GAKO,12,22,N,5,28,W,367,X
KOYUK,PAKK,64,56,N,161,9,W,47,X
KOZANI (CIV/ARMY,LGKZ,40,17,N,21,50,E,628,X
KRABI,VTSG,8,6,N,98,59,E,25,X
KRAKOW/BALICE,EPKK,50,4,N,19,48,E,237,X
KRALJEVO,LYKV,43,49,N,20,35,E,209,X
KRAMFORS (SWE-AF,ESNK,63,2,N,17,46,E,19,X
KRASNODAR,URKK,45,2,N,39,9,E,34,X
KRASNOJARSK,UNKK,56,0,N,92,52,E,277,X
KRASNOYARSK,UNKL,56,10,N,92,29,E,276,X
KREMMLING AWOS,K20V,40,3,N,106,22,W,2259,X
KREMS-LANGENLOIS,LOAG,48,27,N,15,38,E,312,X
KRIBI,FKKB,2,57,N,9,54,E,16,X
KRISTIANSAND/KJE,ENCN,58,12,N,8,4,E,17,X
KRISTIANSTAD/EVE,ESMK,55,55,N,14,4,E,23,X
KRISTIANSUND/KVE,ENKB,63,7,N,7,49,E,62,X
KRIVYY RIH,UKDR,48,3,N,33,13,E,124,X
KROONSTAD,FAKS,27,40,S,27,15,E,1350,X
KRUGER MPUMALANG,FAKN,25,23,S,31,6,E,862,X
KRUUNUPYY,EFKK,63,43,N,23,8,E,25,X
KUALA LUMPUR SA,WMSA,3,8,N,101,33,E,27,X
KUALA LUMPUR/SUB,WMKK,2,45,N,101,43,E,22,X
KUALA TRENGGANU,WMKN,5,22,N,103,5,E,6,X
KUANTAN (AFB),WMKD,3,46,N,103,13,E,16,X
KUCHING (CIV/MIL,WBGG,1,28,N,110,21,E,27,X
KUDAT,WBKT,6,55,N,116,49,E,5,X
KUFRA (MIL/CIV),HLKF,24,13,N,23,18,E,435,X
KUJBYSEV/BEZENCU,UWWS,53,13,N,50,19,E,44,X
KULUSUK AIRPORT,BGKK,65,34,N,37,7,W,34,X
KUMAMOTO(CIV/JAS,RJFT,32,49,N,130,50,E,196,X
KUMASI,DGSI,6,43,N,1,36,W,293,X
KUMEJIMA ISLAND,ROKJ,26,19,N,126,47,E,5,X
KUNDUZ,EQBA,36,40,N,68,55,E,433,X
KUNDUZ,OAUZ,36,40,N,68,55,E,433,X
KUNMING/WUJIABA,ZPPP,25,1,N,102,45,E,1892,X
KUNOVICE,LKKU,49,2,N,17,26,E,177,X
KUNSAN (US/KOR-A,RKJK,35,54,N,126,37,E,9,X
KUNUNURRA AIRPOR,YPKU,15,46,S,128,41,E,45,X
KUOPIO (MIL/CIV),EFKU,63,1,N,27,48,E,102,X
KUPANG/EL TARI,WRKK,10,10,S,123,40,E,108,X
KUPARUK,PAKU,70,19,N,149,35,W,2,X
KURESSAARE,EEKE,58,14,N,22,31,E,4,X
KURSK,UUOK,51,45,N,36,17,E,209,X
KURUMOCH,UWWW,53,30,N,50,10,E,146,X
KUSHIRO AIRPORT,RJCK,43,1,N,144,11,E,98,X
KUSHIRO/KENEBETS,RJCS,42,58,N,144,24,E,37,X
KUTAHYA (TUR-AFB,LTBN,39,25,N,30,1,E,921,X
KUUJJUAQ AIRPORT,CYVP,58,7,N,68,25,W,60,X
KUUJJUARAPIK ARP,CYGW,55,16,N,77,46,W,12,X
KUUSAMO,EFKS,65,58,N,29,14,E,263,X
KUWAIT INTL (MIL,OKBK,29,13,N,47,58,E,55,X
KWAJALEIN/BUCHOL,PKWA,8,44,N,167,44,E,8,X
KYAUKPYU/RAMREE,VBKP,19,25,N,93,32,E,5,X
KZYL-ORDA,UAOO,44,42,N,65,34,E,129,X
L ARTIFICE,CMLA,45,4,N,73,50,W,61,X
L VIV,UKLL,49,49,N,23,56,E,325,X
L9-FF-1   SEA,EHMG,53,37,N,4,58,E,50,X
LA / WHITEMAN,KWHP,34,15,N,118,25,W,306,X
LA BAIE,CWUX,48,18,N,70,56,W,135,X
LA BELLE,KX14,26,44,N,81,26,W,6,X
LA CEIBA/GOLOSO,MHLC,15,45,N,86,51,W,15,X
LA CORUNA/ALVEDR,LECO,43,17,N,8,22,W,103,X
LA CROSSE,KLSE,43,53,N,91,15,W,199,X
LA CUMBRE,SACC,31,0,S,64,32,W,1138,X
LA ESPERANZA,MHLE,14,19,N,88,9,W,1100,X
LA FRIA,SVLF,8,15,N,72,16,W,98,X
LA GOMERA ARPT,GCGM,28,2,N,17,13,W,219,X
LA GRANDE,KLGD,45,16,N,118,0,W,827,X
LA GRANDE III(SA,CYAD,53,34,N,76,12,W,233,X
LA GRANDE IV ARP,CYAH,53,45,N,73,40,W,306,X
LA GRANDE RIVIER,CYGL,53,37,N,77,42,W,195,X
LA GRANGE,KLGC,33,0,N,85,4,W,211,X
LA GRANGE,K3T5,29,54,N,96,57,W,99,X
LA JUNTA,KLHX,38,3,N,103,31,W,1277,X
LA MESA/PEDRO S,MHLM,15,27,N,87,56,W,26,X
LA MOLE,LFNM,43,12,N,6,28,E,18,X
LA ORCHILA ISL(M,SVLO,11,48,N,66,10,W,3,X
LA PALMA,MPLP,8,24,N,78,7,W,10,X
LA PALMA AIRPORT,GCLA,28,37,N,17,45,W,31,X
LA PAZ INTL AIRP,MMLP,24,4,N,110,22,W,21,X
LA PAZ/JFK INTL,SLLP,16,31,S,68,10,W,4014,X
LA PLATA AIRPORT,SADL,34,58,S,57,53,W,19,X
LA POCATIERE,CWST,47,21,N,70,1,W,31,X
LA PORTE,KPPO,41,34,N,86,44,W,248,X
LA QUIACA OBSERV,SASQ,22,6,S,65,35,W,3462,X
LA RIOJA/CAPT VI,SANL,29,22,S,66,49,W,429,X
LA ROCHE/LES AJO,LFRI,46,42,N,1,22,W,91,X
LA ROCHE/MARE IS,NWWR,21,28,S,168,1,E,42,X
LA ROCHELLE/LALE,LFBH,46,11,N,1,12,W,10,X
LA ROMANA INT. A,MDLR,18,27,N,68,55,W,8,X
LA RONGE AIRPORT,CYVC,55,9,N,105,16,W,379,X
LA RONGE AIRPORT,CXOX,55,9,N,105,16,W,379,X
LA SCIE,CWAG,49,55,N,55,40,W,192,X
LA SERENA/LAFLOR,SCSE,29,55,S,71,12,W,146,X
LA TONTOUTA NLLE,NWWW,22,1,S,166,13,E,16,X
LA TUQUE,CWDQ,47,25,N,72,47,W,169,X
LA UNION,MSLU,13,20,N,87,53,W,5,X
LA VERNE/BRACKET,KPOC,34,6,N,117,46,W,308,X
LA VETA PASS,KVTP,37,30,N,105,10,W,3114,X
LAAGE,ETNL,53,55,N,12,16,E,40,X
LAAYOUNE/HASSAN,GMML,27,10,N,13,13,W,6,X
LABE/TATA,GULB,11,19,N,12,18,W,1026,X
LABOULAYE,SAOL,34,7,S,63,22,W,137,X
LABUAN (AFB),WBKL,5,17,N,115,15,E,30,X
LABUHA/TALIABU,WAPH,1,37,S,124,32,E,3,X
LAC EON (MAPS),CWEO,51,52,N,63,16,W,561,X
LAC LA BICHE (MA,CWLB,54,46,N,112,1,W,567,X
LAC LA MARTRE,CWMT,63,8,N,117,15,W,271,X
LAC MEMPHREMAGOG,CWTT,45,16,N,72,10,W,209,X
LAC ST PIERRE (A,CWBS,46,11,N,72,55,W,16,X
L'ACADIE,CWIZ,45,17,N,73,20,W,45,X
LACON,KC75,41,1,N,89,23,W,173,X
LACONIA MUNI,KLCI,43,34,N,71,25,W,166,X
LADY FRANKLIN PO,CYUJ,68,30,N,113,13,W,16,X
LADYSMITH,FALY,28,34,S,29,46,E,1100,X
LADYSMITH/RUSK,KRCX,45,30,N,91,0,W,377,X
LAFAYETTE,KLAF,40,25,N,86,56,W,182,X
LAFAYETTE,KLFT,30,12,N,92,0,W,11,X
LAGES,SBLJ,27,47,S,50,17,W,934,X
LAGHOUAT,DAUL,33,46,N,2,55,E,765,X
LAGO AGRIO,SELA,0,4,N,76,52,W,299,X
LAGO AGRIO,SENL,0,6,N,76,52,W,293,X
LAGO ARGENTINO A,SAWA,50,19,S,72,17,W,220,X
LAGO VISTA,KRYW,30,30,N,97,58,W,376,X
LAGOA SANTA(CV/M,SBLS,19,40,S,43,53,W,852,X
LAGOON CITY,CWGL,44,31,N,79,13,W,221,X
LAGOS/IKEJA,DNMM,6,34,N,3,19,E,38,X
LAHAINA/WEST MAU,PHJH,20,58,N,156,40,W,78,X
LAHORE (CIV/MIL),OPLA,31,31,N,74,24,E,217,X
LAHORE/WALTON,OPLH,31,33,N,74,19,E,215,X
LAHR (CAN-AFB),EDTL,48,22,N,7,50,E,156,X
LAI,FTTH,9,24,N,16,18,E,356,X
LAJES AB,LPLA,38,46,N,27,6,W,55,X
LAJES AB,EQYL,38,46,N,27,6,W,55,X
LAKE CHARLES,KLCH,30,8,N,93,13,W,4,X
LAKE ELMO,K21D,45,0,N,92,51,W,285,X
LAKE HARBOUR ARP,CYLC,62,51,N,69,52,W,53,X
LAKE HAVASU CITY,KHII,34,34,N,114,22,W,238,X
LAKEHURST NAS,KNEL,40,1,N,74,20,W,31,X
LAKELAND REGIONA,KLAL,27,58,N,82,1,W,43,X
LAKEMBA ISLAND,NFNK,18,14,S,178,48,W,3,X
LAKENHEATH RAF,EGUL,52,25,N,0,34,E,10,X
LAKEVIEW,KLKV,42,10,N,120,24,W,1441,X
LAKEWOOD,KN12,40,4,N,74,11,W,13,X
LAL,OALL,34,30,N,66,17,E,2800,X
LALBENQUE/CAHORS,LFCC,44,21,N,1,28,E,278,X
LAMAP/MALEKOULA,NVSL,16,25,S,167,48,E,26,X
LAMAR,KLAA,38,4,N,102,41,W,1119,X
LAMBARENE,FOGR,0,43,S,10,13,E,26,X
LAMBASA AIRPORT,NFNL,16,28,S,179,20,E,17,X
LAMBERTON,QRCM,44,14,N,95,16,W,349,X
LAMBERTVILLE,KDUH,41,44,N,83,39,W,204,X
LAMERD AIRPORT,OISR,27,22,N,53,11,E,408,X
LAMEZIA TERME,LICA,38,53,N,16,15,E,15,X
LAMONI,KLWD,40,38,N,93,54,W,346,X
LAMPANG,VTCL,18,16,N,99,31,E,242,X
LAMPASAS,KLZZ,31,6,N,98,12,W,371,X
LAMPEDUSA ISLAND,LICD,35,30,N,12,37,E,20,X
LAMU/MANDA ISLAN,HKLU,2,15,S,40,55,E,6,X
LAN YU,RCLY,22,1,N,121,32,E,325,X
LANAI CITY AIRPO,PHNY,20,46,N,156,56,W,399,X
LANCASTER,KLHQ,39,45,N,82,40,W,260,X
LANCASTER,KLNS,40,7,N,76,18,W,125,X
LANCASTER,KLKR,34,43,N,80,51,W,149,X
LANCASTER,KLNC,32,35,N,96,43,W,153,X
LANCASTER/FOX,KWJF,34,43,N,118,13,W,715,X
LAND O LAKES,KLNL,46,9,N,89,13,W,520,X
LANDER,KLND,42,49,N,108,44,W,1694,X
LANDIVISIAU (NAV,LFRJ,48,31,N,4,9,W,115,X
LANDSBERG (GER-A,ETSA,48,4,N,10,54,E,628,X
LANGARA,CWJU,54,15,N,133,4,W,41,X
LANGARA,CWLA,54,15,N,133,4,W,41,X
LANGDON/ROBERTSN,KD55,48,45,N,98,24,W,491,X
LANGEBAANWEG (SA,FALW,32,58,S,18,10,E,0,X
LANGENLEBARN/TUL,LOXT,48,19,N,16,7,E,176,X
LANGKAWI INTL AR,WMKL,6,19,N,99,43,E,7,X
LANGLEY AFB/HAMP,KLFI,37,4,N,76,22,W,3,X
LANNION/SERVEL,LFRO,48,45,N,3,28,W,89,X
LANSDOWNE HOUSE,CWLF,52,13,N,87,52,W,242,X
LANSDOWNE HOUSE,CYLF,52,14,N,87,53,W,242,X
LANSDOWNE HOUSE,CYLH,52,12,N,87,56,W,254,X
LANSERIA (CIV/MI,FALA,25,55,S,27,55,E,1377,X
LANSING,KLAN,42,47,N,84,35,W,264,X
LANVEOC/POULMIC(,LFRL,48,16,N,4,25,W,82,X
LANZHOU,ZLLL,36,31,N,103,37,E,1947,X
LAOAG INTL(PH-AR,RPLI,18,10,N,120,31,E,5,X
LAPEER,KD95,43,4,N,83,16,W,255,X
LAPIINA,KQOP,43,8,N,17,43,E,5,X
LAPPEENRANTA,EFLP,61,4,N,28,8,E,106,X
LAR AIRPORT,OISL,27,41,N,54,23,E,805,X
LARAMIE,KLAR,41,19,N,105,40,W,2216,X
LARANTUKA/GEWAYE,WRKL,8,16,S,122,58,E,9,X
LAREDO,KLRD,27,33,N,99,28,W,155,X
LARNACA/LARNAX A,LCLK,34,52,N,33,37,E,2,X
LAS CRUCES INTL,KLRU,32,16,N,106,55,W,1358,X
LAS LOMITAS,SATK,24,41,S,60,34,W,130,X
LAS PALMAS (MIL),SPLP,12,10,S,77,0,W,76,X
LAS PALMAS/GANDO,GCLP,27,55,N,15,22,W,25,X
LAS TUMAS,MUVT,20,57,N,76,57,W,106,X
LAS VEGAS,KLVS,35,39,N,105,8,W,2091,X
LAS VEGAS,KLAS,36,5,N,115,9,W,636,X
LAS VEGAS/NELLIS,KLSV,36,13,N,115,1,W,570,X
LASHIO,VBLS,22,55,N,97,45,E,749,X
L'ASSOMPTION,CWEW,45,49,N,73,26,W,21,X
LASTOURSVILLE,FOOR,0,49,S,12,43,E,485,X
LATACUNGA/COTOPA,SELT,0,55,S,78,37,W,2785,X
LATAKIA,OSLK,35,24,N,35,57,E,7,X
LATERRIERE,CXLT,48,18,N,71,8,W,162,X
LATINA (IT-AFB),LIRL,41,32,N,12,54,E,26,X
LATROBE/WESTMORL,KLBE,40,16,N,79,24,W,361,X
LATRONICO,LIBU,40,4,N,16,1,E,896,X
LAUGHLIN AFB,KDLF,29,22,N,100,46,W,330,X
LAUNCESTON AIRPO,YMLT,41,31,S,147,11,E,178,X
LAUPHEIM (GER-AR,ETHL,48,13,N,9,55,E,549,X
LAUREL,K6S8,45,42,N,108,46,W,1072,X
LAURENS,KLUX,34,30,N,81,57,W,213,X
LAUSANNE/BLECHER,LSGL,46,32,N,6,37,E,615,X
LAUTHALA BAY,NFLB,18,9,S,178,27,E,6,X
LAUZON,CWLU,46,50,N,71,10,W,20,X
LAVAL/ENTRAMMES,LFOV,48,2,N,0,45,W,101,X
LAVAN ISLAND,OIBV,26,49,N,53,21,E,24,X
LAVERTON AERO,YMLV,37,51,S,144,43,E,21,X
LAVRENTIJA,UHML,65,35,N,171,0,W,9,X
LAVUMISA,FDLV,27,16,S,31,49,E,315,X
LAWRENCE,KLWC,39,1,N,95,13,W,253,X
LAWRENCE,KLWM,42,43,N,71,8,W,54,X
LAWRENCEBURG,K2M2,35,14,N,87,15,W,286,X
LAWRENCEVILLE,KLZU,33,59,N,83,58,W,323,X
LAWRENCEVILLE,KLWV,38,46,N,87,36,W,131,X
LAWTON,KLAW,34,33,N,98,25,W,337,X
LE HAVRE/OCTEVIL,LFOH,49,31,N,0,4,E,103,X
LE LAMENTIN/MART,TFFF,14,36,N,61,0,W,5,X
LE LUC/LE CANNET,LFMC,43,22,N,6,22,E,78,X
LE MANS/ARNAGE(A,LFRM,47,57,N,0,12,E,52,X
LE MARS,KLRJ,42,46,N,96,12,W,365,X
LE PUY/LOUDES (A,LFHP,45,4,N,3,46,E,833,X
LE RAIZET,TFFR,16,16,N,61,32,W,11,X
LEADER ARPT (AUT,CWJX,50,53,N,109,30,W,672,X
LEADVILLE,KLXV,39,14,N,106,19,W,3028,X
LEARMOUTH,YPLM,22,13,S,114,4,E,6,X
LEBANON,KLBO,37,39,N,92,39,W,403,X
LEBANON,KLEB,43,38,N,72,18,W,171,X
LEBANON,KI68,39,28,N,84,15,W,274,X
LEBANON,KM54,36,11,N,86,19,W,180,X
LECCE (IT-AFB),LIBN,40,13,N,18,8,E,61,X
LECHFELD (GER-AF,ETSL,48,10,N,10,52,E,562,X
LECONFIELD (AUT),EGXV,53,52,N,0,25,W,6,X
LEEDS AND BRADFO,EGNM,53,52,N,1,38,W,208,X
LEEMING RAF,EGXE,54,17,N,1,31,W,40,X
LEE-ON-SOLENT(NA,EGUS,50,49,N,1,13,W,10,X
LEES SUMMIT MUNI,KLXT,38,58,N,94,22,W,306,X
LEESBURG,KLEE,28,49,N,81,49,W,23,X
LEESBURG/GODFREY,KJYO,39,4,N,77,34,W,119,X
LEEUWARDEN RNLAF,EHLW,53,13,N,5,45,E,2,X
LEGAZPI/LUZON IS,RPMP,13,9,N,123,44,E,17,X
LEIGH CREEK S. A,YPLC,30,36,S,138,25,E,262,X
LEIPZIG/SCHKEUDI,EDDP,51,25,N,12,13,E,149,X
LEITE LOPES/RIBE,SBRP,21,7,S,47,46,W,549,X
LEKNES,ENLK,68,9,N,13,37,E,26,X
LELYSTAD,EHLE,52,27,N,5,31,E,-6,X
LEMMON,KY22,45,55,N,102,10,W,781,X
LEMMON US12,KLEM,45,56,N,102,11,W,783,X
LEMOORE NAS/REEV,KNLC,36,19,N,119,57,W,72,X
LENCOIS CHAPADA,SBLE,12,29,S,41,17,W,511,X
LENKORAN,UBBL,38,45,N,48,49,E,10,X
LENNOXVILLE,CWQH,45,22,N,71,49,W,181,X
LEON/FANOR URROZ,MNLN,12,25,N,86,54,W,100,X
LEON/VIRGEN CAMI,LELN,42,34,N,5,39,W,914,X
LEOTI/HOARD MEML,K3K7,38,27,N,101,21,W,1007,X
LEROY,QLEM,43,31,N,92,31,W,393,X
LES CAYES,MTCA,18,10,N,73,43,W,2,X
LES EPLATURES,LSGC,47,5,N,6,48,E,1027,X
LETHBRIDGE DEMO,CPQL,49,41,N,112,45,W,903,X
LETHBRIDGE VOR,CYQL,49,38,N,112,48,W,929,X
LETHEM,SYLT,3,22,N,59,47,W,107,X
LETICIA/VASQUEZ,SKLT,4,10,S,69,57,W,84,X
LEUCHARS RAF,EGQL,56,23,N,2,52,W,12,X
LEVALDIGI,LIMZ,44,32,N,7,37,E,380,X
LEWISBURG,KLUG,35,30,N,86,48,W,219,X
LEWISBURG/GREENB,KLWB,37,52,N,80,24,W,702,X
LEWISTON,KLWS,46,22,N,117,1,W,438,X
LEWISTOWN,KLWT,47,2,N,109,28,W,1270,X
LEXINGTON,KLEX,38,2,N,84,36,W,300,X
LEXINGTON,KLXN,40,47,N,99,46,W,734,X
LEXINGTON,KHMY,35,2,N,97,14,W,331,X
LHASA,ZULS,29,18,N,90,55,E,3650,X
LHOKSEUMAWE/MALI,WITM,5,14,N,96,57,E,28,X
LIBBY,KS59,48,17,N,115,29,W,793,X
LIBERAL,KLBL,37,2,N,100,58,W,879,X
LIBEREC,LKLB,50,46,N,15,1,E,405,X
LIBERIA/TOMAS G,MRLB,10,36,N,85,33,W,82,X
LIBREVILLE/LEON,FOOL,0,27,N,9,25,E,15,X
LICHINGA,FQLC,13,16,S,35,15,E,1365,X
LICHTENBURG,FALI,26,10,S,26,11,E,1486,X
LICHTENBURG,FALT,26,10,S,26,10,E,1486,X
LIDGERWOOD (RAMO,KP67,46,6,N,97,9,W,351,X
LIDKOPING,ESGL,58,28,N,13,10,E,61,X
LIEPAJA INTL,EVLA,56,31,N,21,6,E,4,X
LIHUE/KAUAI IS,PHLI,21,58,N,159,20,W,45,X
LILLE/LESQUIN,LFQQ,50,34,N,3,6,E,52,X
LILONGWE INTL AR,FWLL,13,58,S,33,46,E,1067,X
LIMA,KAOH,40,42,N,84,1,W,296,X
LIMA/JORGE CHAVE,SPIM,12,1,S,77,6,W,13,X
LIME ACRES(PRIVA,FALC,28,22,S,23,26,E,1494,X
LIMNOS ISLAND AR,LGLM,39,55,N,25,14,E,5,X
LIMOGES/BELLEGAR,LFBL,45,52,N,1,10,E,402,X
LIMON,KLIC,39,16,N,103,40,W,1630,X
LIMON INTL AIRP,MRLM,9,58,N,83,2,W,2,X
LIMONCOCHA,SELI,0,24,S,76,35,W,221,X
LINCOLN,KLHM,38,55,N,121,21,W,37,X
LINCOLN,KAAA,40,10,N,89,20,W,182,X
LINCOLN,KLNK,40,51,N,96,46,W,364,X
LINCOLN PARK,KN07,40,57,N,74,19,W,56,X
LINCOLNTON,KIPJ,35,29,N,81,10,W,267,X
